Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,simple
2,Terminator,Flowchart Shapes,1,,,,,,,main()
3,Process,Flowchart Shapes,1,,,,,,,"int a, b, c;a = 1;"
4,Process,Flowchart Shapes,1,,,,,,,"b = 2;"
5,Process,Flowchart Shapes,1,,,,,,,"c = a+b;"
6,Display,Flowchart Shapes,1,,,,,,,"""a, b, c: "", a, b, c"
7,Terminator,Flowchart Shapes,1,,,,,,,
8,Line,,1,,,2,3,None,Arrow,
9,Line,,1,,,3,4,None,Arrow,
10,Line,,1,,,4,5,None,Arrow,
11,Line,,1,,,5,6,None,Arrow,
12,Line,,1,,,6,7,None,Arrow,
13,Page,,,,,,,,,if
14,Terminator,Flowchart Shapes,13,,,,,,,main()
15,Process,Flowchart Shapes,13,,,,,,,"int i;i = 6;"
16,Display,Flowchart Shapes,13,,,,,,,"""smaller than 3: "", i"
17,Decision,Flowchart Shapes,13,,,,,,,if i < 3
18,Decision,Flowchart Shapes,13,,,,,,,elif i == 3
19,Display,Flowchart Shapes,13,,,,,,,"""3: "", i"
20,Display,Flowchart Shapes,13,,,,,,,"""bigger than 3: "", i"
21,Terminator,Flowchart Shapes,13,,,,,,,
22,Decision,Flowchart Shapes,13,,,,,,,
23,Line,,13,,,14,15,None,Arrow,
24,Line,,13,,,15,17,None,Arrow,
25,Line,,13,,,17,16,None,Arrow,Yes
26,Line,,13,,,17,18,None,Arrow,No
27,Line,,13,,,18,19,None,Arrow,Yes
28,Line,,13,,,18,20,None,Arrow,No
29,Line,,13,,,16,22,None,Arrow,
30,Line,,13,,,19,22,None,Arrow,
31,Line,,13,,,20,22,None,Arrow,
32,Line,,13,,,22,21,None,Arrow,
33,Page,,,,,,,,,while
34,Terminator,Flowchart Shapes,33,,,,,,,main()
35,Process,Flowchart Shapes,33,,,,,,,"int a, b;a = 1;b = 5;"
36,Display,Flowchart Shapes,33,,,,,,,"a, "" smaller than 3: "", b"
37,Manual Operation,Flowchart Shapes,33,,,,,,,while a < b
38,Process,Flowchart Shapes,33,,,,,,,"a = a + 1;"
39,Manual Operation,Flowchart Shapes,33,,,,,,,
40,Terminator,Flowchart Shapes,33,,,,,,,
41,Line,,33,,,34,35,None,Arrow,
42,Line,,33,,,35,37,None,Arrow,
43,Line,,33,,,37,36,None,Arrow,
44,Line,,33,,,38,39,None,Arrow,
45,Line,,33,,,39,40,None,Arrow,
46,Line,,33,,,36,38,None,Arrow,
47,Page,,,,,,,,,lists
48,Terminator,Flowchart Shapes,47,,,,,,,main()
49,Process,Flowchart Shapes,47,,,,,,,"int a[1 .. 5], b[1 .. 5], c, d;"
50,Process,Flowchart Shapes,47,,,,,,,"a[4] = 1;b[2] = 4;c = a[4];d = a[b[2]];"
51,Display,Flowchart Shapes,47,,,,,,,"""a[4], c: "", a[4], c"
52,Terminator,Flowchart Shapes,47,,,,,,,
53,Display,Flowchart Shapes,47,,,,,,,"""a[4] b[2], a[b[2]]: "", a[4], b[2], a[b[2]]"
54,Line,,47,,,48,49,None,Arrow,
55,Line,,47,,,49,50,None,Arrow,
